Lionel Messi, Forward, Barcelona, Argentina, 25
Cristiano Ronaldo, Forward, Real Madrid, Portugal, 27
Xavi, Midfielder, Barcelona, Spain, 32
Andres Iniesta, Midfielder, Barcelona, Spain, 28
Zlatan Ibrahimovic, Forward, PSG, Sweden, 31
Radamel Falcao, Forward, Atletico Madrid, Colombia, 26
Robin van Persie, Forward, Man Utd, Netherlands, 29
Andrea Pirlo, Midfielder, Juventus, Italy, 33
Yaya Toure, Midfielder, Man City, Ivory Coast, 27
Edinson Cavani, Forward, Napoli, Uruguay, 25
Sergio Aguero, Forward, Man City, Argentina, 24
Iker Casillas, Goalkeeper, Real Madrid, Spain, 31
Neymar, Forward, Santos, Brazil, 20
Sergio Busquets, Defender / midfielder, Barcelona, Spain, 24
Xabi Alonso, Midfielder, Real Madrid, Spain, 31
Thiago Silva, Defender, PSG, Brazil, 28
Mesut Ozil, Midfielder, Real Madrid, Germany, 24
David Silva, Midfielder / forward, Man City, Spain, 26
Bastian Schweinsteiger, Midfielder, Bayern Munich, Germany, 28
Gianluigi Buffon, Goalkeeper, Juventus, Italy, 34
Luis Suarez, Forward, Liverpool, Uruguay, 25
Sergio Ramos, Defender, Real Madrid, Spain, 26
Vincent Kompany, Defender, Man City, Belgium, 26
Gerard Pique, Defender, Barcelona, Spain, 25
Philipp Lahm, Defender, Bayern Munich, Germany, 29
Willian, Midfielder, Shakhtar Donetsk, Brazil, 24
Marco Reus, Forward, Borussia Dortmund, Germany, 23
Franck Ribery, Midfielder, Bayern Munich, France, 29
Manuel Neuer, Goalkeeper, Bayern Munich, Germany, 26
Ashley Cole, Defender, Chelsea, England, 32
Wayne Rooney, Forward, Man Utd, England, 27
Juan Mata, Midfielder, Chelsea, Spain, 24
Thomas Muller, Forward, Bayern Munich, Germany, 23
Mario Götze, Midfielder / forward, Borussia Dortmund, Germany, 20
Karim Benzema, Forward, Real Madrid, France, 24
Cesc Fabregas, Midfielder, Barcelona, Spain, 25
Oscar, Midfielder, Chelsea, Brazil, 21
Fernandinho, Midfielder, Shakhtar Donetsk, Brazil, 27
Javier Mascherano, Defender / midfielder, Barcelona, Argentina, 28
Gareth Bale, Defender, Tottenham, Wales, 23
Javier Zanetti, Defender / midfielder, Internazionale, Argentina, 39
Daniele De Rossi, Midfielder, Roma, Italy, 29
Dani Alves, Defender, Barcelona, Brazil, 29
Petr Cech, Goalkeeper, Chelsea, Czech Republic, 30
Mats Hummels, Defender, Borussia Dortmund, Germany, 24
Carles Puyol, Defender, Barcelona, Spain, 34
Angel Di Maria, Midfielder, Real Madrid, Argentina, 24
Carlos Tevez, Forward, Man City, Argentina, 28
Didier Drogba, Forward, Shanghai Shenhua, Ivory Coast, 34
Giorgio Chiellini, Defender, Juventus, Italy, 28
